idx,lat,lon,elev_m,below_threshold,flood_zone,zone_notes
198,37.152295,-8.47146,35.217,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
199,37.151845,-8.471458,33.595,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
200,37.151395,-8.471457,32.567,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
201,37.150946,-8.471455,31.167,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
202,37.150496,-8.471454,29.001,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
203,37.150046,-8.471452,27.148,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
204,37.149597,-8.471451,27.097,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
205,37.149147,-8.471449,28.608,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
206,37.148718,-8.471447,31.266,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
207,37.149167,-8.471442,28.57,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
208,37.149617,-8.471437,27.118,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
209,37.150067,-8.471432,27.307,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
210,37.150516,-8.471426,29.219,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
211,37.150966,-8.471421,31.481,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
212,37.151416,-8.471416,32.851,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
213,37.151865,-8.471411,33.965,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
214,37.152315,-8.471406,35.719,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
215,37.152765,-8.4714,37.002,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
216,37.153214,-8.471395,37.641,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
217,37.153664,-8.47139,39.454,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
218,37.154113,-8.471385,41.781,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
219,37.154563,-8.471379,43.95,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
220,37.155013,-8.471374,46.07,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
221,37.155226,-8.471367,47.033,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
222,37.154776,-8.471354,44.842,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
223,37.154327,-8.471341,42.777,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
224,37.153877,-8.471329,40.535,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
225,37.153428,-8.471316,38.689,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
226,37.152978,-8.471303,37.694,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
227,37.152529,-8.47129,37.258,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
228,37.152079,-8.471277,35.752,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
229,37.151629,-8.471265,34.199,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
230,37.15118,-8.471252,33.354,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
231,37.15073,-8.471236,31.597,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
232,37.150281,-8.471213,28.99,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
233,37.149832,-8.471191,28.24,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
234,37.149383,-8.471169,29.244,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
235,37.149791,-8.471164,28.453,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
236,37.150241,-8.471161,29.135,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
237,37.150691,-8.471157,31.775,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
238,37.15114,-8.471154,33.793,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
239,37.15159,-8.47115,34.89,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
240,37.15204,-8.471146,36.442,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
241,37.152489,-8.471143,38.047,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
242,37.152939,-8.471139,38.354,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
243,37.153389,-8.471136,38.678,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
244,37.153838,-8.471132,40.415,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
245,37.154288,-8.471128,42.203,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
246,37.154737,-8.471125,44.182,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
247,37.155187,-8.471121,46.499,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
248,37.155637,-8.471118,48.522,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
249,37.155555,-8.471115,48.179,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
250,37.155106,-8.471112,46.057,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
251,37.154656,-8.471109,43.795,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
252,37.154206,-8.471107,41.829,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
253,37.153757,-8.471104,40.057,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
254,37.153307,-8.471102,38.493,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
255,37.152857,-8.471099,38.453,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
256,37.152408,-8.471097,38.16,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
257,37.151958,-8.471094,36.382,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
258,37.151508,-8.471091,35.131,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
259,37.151059,-8.471089,33.975,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
260,37.150609,-8.471086,31.595,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
261,37.150159,-8.471084,29.272,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
262,37.15039,-8.47106,30.34,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
263,37.150839,-8.47103,33.372,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
264,37.151288,-8.471,34.984,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
265,37.151737,-8.47097,36.262,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
266,37.152186,-8.47094,38.394,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
267,37.152635,-8.47091,39.189,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
268,37.153084,-8.47088,38.614,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
269,37.153533,-8.47085,39.216,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
270,37.153982,-8.47082,40.759,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
271,37.154431,-8.47079,42.574,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
272,37.15488,-8.47076,44.908,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
273,37.155329,-8.47073,47.151,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
274,37.155778,-8.4707,49.388,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
275,37.156227,-8.47067,51.502,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
276,37.156673,-8.47062,52.995,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
277,37.157082,-8.470387,54.12,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
278,37.157492,-8.470156,55.778,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
279,37.157901,-8.46992,57.47,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
280,37.158308,-8.46968,57.501,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
281,37.158715,-8.469442,56.71,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
282,37.159118,-8.469192,53.678,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
283,37.159507,-8.46891,50.465,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
284,37.159863,-8.468567,48.354,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
285,37.160176,-8.468161,46.513,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
286,37.160441,-8.467708,46.759,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
287,37.160677,-8.467227,47.756,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
288,37.160902,-8.466739,48.109,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
289,37.161127,-8.46625,49.299,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
290,37.161351,-8.465761,49.893,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
291,37.161571,-8.465269,51.006,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
292,37.161791,-8.464777,52.015,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
293,37.162011,-8.464285,51.213,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
294,37.162231,-8.463793,47.752,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
295,37.162455,-8.463304,44.494,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
296,37.162683,-8.462817,44.947,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
297,37.162895,-8.46232,47.014,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
298,37.16307,-8.461801,49.399,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
299,37.163203,-8.461262,50.944,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
300,37.163285,-8.460708,53.337,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
